proposer_index,total,attestations,sync_aggregate,proposer_slashings,attester_slashings,slot
210278,46021514,44398130,1623384,0,0,10476864
470477,45660009,44307189,1352820,0,0,10476865
547013,45615366,44017750,1597616,0,0,10476866
1423377,46208648,44607811,1600837,0,0,10476867
1427044,46036610,44413226,1623384,0,0,10476868
102265,46042618,44406350,1636268,0,0,10476869
608835,46101761,44459051,1642710,0,0,10476870
1466271,45972750,44336482,1636268,0,0,10476871
1402118,46056635,44420367,1636268,0,0,10476872
1085325,45912528,44282702,1629826,0,0,10476873
