date,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2020-01-01,2630917.8724003057
2020-01-02,2637937.138182713
2020-01-03,2645294.644883338
2020-01-04,2653761.5457155732
2020-01-05,2656634.4704156057
2020-01-06,2663149.5641325763
2020-01-07,2676781.4268037756
2020-01-08,2687805.3651176356
2020-01-09,2707974.610790377
2020-01-10,2711143.7820535633
2020-01-11,2712341.6857990385
2020-01-12,2712687.396822104
2020-01-13,2718165.9134168127
2020-01-14,2718628.3276966936
2020-01-15,2717109.9747830834
2020-01-16,2722366.2579592466
2020-01-17,2729685.5918251188
2020-01-18,2726515.6008839053
2020-01-19,2729477.1658866857
2020-01-20,2751664.8500567046
2020-01-21,2757375.610022445
2020-01-22,2769269.614380672
2020-01-23,2767525.5837839213
2020-01-24,2769425.63694367
2020-01-25,2764583.6660406785
2020-01-26,2768099.4753744425
2020-01-27,2775337.078801359
2020-01-28,2780110.378469679
2020-01-29,2800419.8383907643
2020-01-30,2798448.3076205226
2020-01-31,2794369.927180581
2020-02-01,2797023.837224845
2020-02-02,2798448.465879646
2020-02-03,2747592.5709009534
2020-02-04,2747475.36378598
2020-02-05,2755289.25926588
2020-02-06,2753979.042334162
2020-02-07,2733310.0793713126
2020-02-08,2727660.052150739
2020-02-09,2719180.315178078
2020-02-10,2717955.7386372597
2020-02-11,2712530.1669087387
2020-02-12,2716192.7488386747
2020-02-13,2703991.5669768113
2020-02-14,2694667.1722837407
2020-02-15,2703709.0162707483
2020-02-16,2662271.3154317066
2020-02-17,2679391.3551197434
2020-02-18,2655995.7521188576
2020-02-19,2605301.4851281084
2020-02-20,2350887.076059007
2020-02-21,2324577.371763881
2020-02-22,2329840.347726873
2020-02-23,2313792.398574158
2020-02-24,2337902.0828977823
2020-02-25,2341657.5739628267
2020-02-26,2351265.753228099
2020-02-27,2376577.2416921104
2020-02-28,2376872.5288572223
2020-02-29,2385563.66724489
2020-03-01,2383625.904525191
2020-03-02,2354047.1204794757
2020-03-03,2348417.8412856283
2020-03-04,2353571.8891106024
2020-03-05,2354100.4426427716
2020-03-06,2360928.0560012287
2020-03-07,2393326.096005638
2020-03-08,2410482.40827677
2020-03-09,2428251.877188731
2020-03-10,2535461.209392882
2020-03-11,2519919.8164854976
2020-03-12,2521727.6085855043
2020-03-13,2708399.4748084876
2020-03-14,2644931.899684061
2020-03-15,2602736.2678457107
2020-03-16,2557858.3807347086
2020-03-17,2538798.956647798
2020-03-18,2465455.1985128406
2020-03-19,2431085.2941996427
2020-03-20,2390453.216830839
2020-03-21,2391556.3713319297
2020-03-22,2395416.4677715194
2020-03-23,2389349.0922828927
2020-03-24,2348792.6617158665
2020-03-25,2353639.4880927783
2020-03-26,2365185.481191317
2020-03-27,2410295.9212462623
2020-03-28,2420799.767378653
2020-03-29,2445570.3987725046
2020-03-30,2468503.519139747
2020-03-31,2464755.2816606346
2020-04-01,2497142.7013436602
2020-04-02,2497612.1682495694
2020-04-03,2500241.665475967
2020-04-04,2509114.8669504346
2020-04-05,2511755.676757695
2020-04-06,2506618.737792552
2020-04-07,2432845.741611016
2020-04-08,2346510.741672642
2020-04-09,2320737.746906084
2020-04-10,2331993.582497242
2020-04-11,2359341.7254868494
2020-04-12,2364036.7419736753
2020-04-13,2361127.560604561
2020-04-14,2348676.183266076
2020-04-15,2351906.41887446
2020-04-16,2352507.942705463
2020-04-17,2349499.636402333
2020-04-18,2347933.3327505453
2020-04-19,2372566.344212356
2020-04-20,2373642.5606273725
2020-04-21,2408737.611584465
2020-04-22,2404458.6238739877
2020-04-23,2407055.9714360624
2020-04-24,2370897.059707699
2020-04-25,2420750.3773212163
2020-04-26,2422692.0059249713
2020-04-27,2476148.7823521392
2020-04-28,2410948.8487726096
2020-04-29,2410098.669288735
2020-04-30,2428766.3756041904
2020-05-01,2370341.0942405593
2020-05-02,2353001.2197245075
2020-05-03,2353758.8016571165
2020-05-04,2349349.966068385
2020-05-05,2394541.9304045527
2020-05-06,2408749.3033393305
2020-05-07,2410268.4564709864
2020-05-08,2417811.428195027
2020-05-09,2420126.006360971
2020-05-10,2422567.697860634
2020-05-11,2430854.564138713
2020-05-12,2362875.1608074065
2020-05-13,2356314.637865549
2020-05-14,2266348.2014676374
2020-05-15,2282577.0751642217
2020-05-16,2281528.198062717
2020-05-17,2259101.4165364075
2020-05-18,2257805.5765157384
2020-05-19,2278754.982268884
2020-05-20,2285354.486895581
2020-05-21,2311671.4892060473
2020-05-22,2291987.71330694
2020-05-23,2309366.59079219
2020-05-24,2330656.1007034797
2020-05-25,2350753.166818654
2020-05-26,2350934.4140349175
2020-05-27,2345173.7421364486
2020-05-28,2352834.3691117805
2020-05-29,2361623.819316419
2020-05-30,2381766.3147401134
2020-05-31,2362682.5960664772
2020-06-01,2407055.8255914007
2020-06-02,2367524.3624714077
2020-06-03,2378717.1063961643
2020-06-04,2381646.8135332116
2020-06-05,2388547.620836389
2020-06-06,2395531.2469476117
2020-06-07,2388820.189546211
2020-06-08,2400077.0400777855
2020-06-09,2388202.205901596
2020-06-10,2272078.567823906
2020-06-11,2285248.8457429977
2020-06-12,2432243.3230156614
2020-06-13,2430824.46611004
2020-06-14,2442228.1203802456
2020-06-15,2356339.4204176706
2020-06-16,2329451.4630447286
2020-06-17,2331406.9309184304
2020-06-18,2307463.7090764395
2020-06-19,2326892.0688254796
2020-06-20,2351002.414334721
2020-06-21,2293808.5694358125
2020-06-22,2114916.6856703954
2020-06-23,2158331.6335715665
2020-06-24,2183377.02117159
2020-06-25,2228395.3031383716
2020-06-26,2247851.8009701045
